frame,source_path,selected_source,num_points,debug_mapped_points_image
frame_007470,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007470.jpg,perspective,8,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_007470_perspective_mapped_points_on_raw.jpg
frame_007500,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007500.jpg,raw,12,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_007500_raw_mapped_points_on_raw.jpg
frame_008640,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_008640.jpg,raw,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_008640_raw_mapped_points_on_raw.jpg
frame_009150,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_009150.jpg,perspective,6,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_009150_perspective_mapped_points_on_raw.jpg
frame_009180,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_009180.jpg,perspective,10,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_009180_perspective_mapped_points_on_raw.jpg
frame_009210,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_009210.jpg,perspective,7,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_009210_perspective_mapped_points_on_raw.jpg
frame_009240,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_009240.jpg,perspective,19,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_009240_perspective_mapped_points_on_raw.jpg
frame_009720,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_009720.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_009720_perspective_mapped_points_on_raw.jpg
frame_009750,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_009750.jpg,raw,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_009750_raw_mapped_points_on_raw.jpg
frame_009900,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_009900.jpg,perspective,4,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_009900_perspective_mapped_points_on_raw.jpg
frame_010500,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_010500.jpg,perspective,5,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_010500_perspective_mapped_points_on_raw.jpg
frame_010560,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_010560.jpg,raw,8,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_010560_raw_mapped_points_on_raw.jpg
frame_010590,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_010590.jpg,raw,11,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_010590_raw_mapped_points_on_raw.jpg
frame_010620,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_010620.jpg,raw,6,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_010620_raw_mapped_points_on_raw.jpg
frame_010650,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_010650.jpg,perspective,7,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_010650_perspective_mapped_points_on_raw.jpg
frame_010710,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_010710.jpg,perspective,7,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_omnidir_calibration/debug_mapped_points/frame_010710_perspective_mapped_points_on_raw.jpg
